Precinct,"Jena Griswold
Democratic","Michael Dougherty
Democratic","David Seligman
Democratic","Hetal Doshi
Democratic","Total Votes Cast",Undervotes,Overvotes,"Total Ballots Cast"
STATE,1,0,1,0,2,0,0,2
101,"2,702",608,531,480,"4,321",134,4,"4,459"
Totals,"2,703",608,532,480,"4,323",134,4,"4,461"

