County,"Ed Lafferty
Republican","Total Votes Cast",Undervotes,"Total Ballots Cast"
Montrose,"6,342","6,342","1,488","7,830"
"Precinct 101","6,342","6,342","1,488","7,830"
Totals,"6,342","6,342","1,488","7,830"

