Precinct,"Jeff Bridges
Democratic","Total Votes Cast",Undervotes,"Total Ballots Cast"
STATE,1,1,1,2
101,"3,416","3,416","1,043","4,459"
Totals,"3,417","3,417","1,044","4,461"

