Precinct,"Phil Weiser
Democratic","Michael Bennet
Democratic","Total Votes Cast",Undervotes,"Total Ballots Cast"
STATE,1,1,2,0,2
101,"2,756","1,658","4,414",45,"4,459"
Totals,"2,757","1,659","4,416",45,"4,461"

