Precinct,"Michael J. Allen
Republican","David Willson
Republican","Total Votes Cast",Undervotes,"Total Ballots Cast"
STATE,0,1,1,0,1
101,"3,550","3,315","6,865",965,"7,830"
Totals,"3,550","3,316","6,866",965,"7,831"

