Precinct,"John Hickenlooper
Democratic","Julie Gonzales
Democratic","Total Votes Cast",Undervotes,"Total Ballots Cast"
STATE,0,2,2,0,2
101,"2,368","2,059","4,427",32,"4,459"
Totals,"2,368","2,061","4,429",32,"4,461"

