Precinct,"Kevin Grantham
Republican","Total Votes Cast",Undervotes,"Total Ballots Cast"
STATE,1,1,0,1
101,"6,344","6,344","1,486","7,830"
Totals,"6,345","6,345","1,486","7,831"

