Precinct,"Amanda Gonzalez
Democratic","Jessie Danielson
Democratic","Total Votes Cast",Undervotes,"Total Ballots Cast"
STATE,2,0,2,0,2
101,"2,556","1,533","4,089",370,"4,459"
Totals,"2,558","1,533","4,091",370,"4,461"

