Precinct,"Mark Baisley
Republican","Total Votes Cast",Undervotes,"Total Ballots Cast"
STATE,1,1,0,1
101,"6,318","6,318","1,512","7,830"
Totals,"6,319","6,319","1,512","7,831"

