Precinct,"Jeff Hurd
Republican","Ron Hanks
Republican","Total Votes Cast",Undervotes,"Total Ballots Cast"
101,"4,602","3,047","7,649",181,"7,830"
Totals,"4,602","3,047","7,649",181,"7,830"

